MID,MutOp,ClassName,Subject,Compilable,GeneratedCode,EquiTceJavac,EquiTceSoot,EquiSuppressed,CM_MID,CoveredCM,KillDetails,KilledCM,TimeoutCM,SuppressionTag,SuppressionRuleGrp,RIP,ASH,EquiManualLabel,EquiManualTags,EquiManualBin,CoverageManual,LiveManual,EquiManualTag,EquiManualTagHR,EquiManualTagBin,EquiToolTag,EquiToolTagHR,EquiToolTagBin
393,COR,org.jfree.chart.ChartFactory,Chart-1f,True,False,False,False,False,394.0,False,,False,,,,,,NOT_EQUIV,,False,0.0,True,,,,,,
562,LVR,org.jfree.chart.ChartFactory,Chart-1f,True,False,False,False,False,564.0,False,,False,,,,,,NOT_EQUIV,,False,0.0,True,,,,,,
747,STD,org.jfree.chart.ChartFactory,Chart-1f,True,False,False,False,False,749.0,True,,False,,,,,,NOT_EQUIV,,False,3.0,True,,,,,,
1423,ROR,org.jfree.chart.JFreeChart,Chart-1f,True,False,False,False,False,1425.0,False,,False,,,,,,NOT_EQUIV,,False,0.0,True,,,,,,
1547,LVR,org.jfree.chart.JFreeChart,Chart-1f,True,False,False,False,False,1549.0,False,,False,,,,,,NOT_EQUIV,,False,0.0,True,,,,,,
1766,ROR,org.jfree.chart.JFreeChart,Chart-1f,True,False,False,False,False,1768.0,True,,False,,,,,,NOT_EQUIV,,False,1.0,True,,,,,,
1772,ROR,org.jfree.chart.JFreeChart,Chart-1f,True,False,False,False,False,1774.0,True,,False,,,,I,S,EQUIV,class-invariant,True,1.0,True,class-invariant,Class Invariant,Class Invariant,,,
2297,LVR,org.jfree.chart.util.RectangleInsets,Chart-1f,True,False,False,False,False,2299.0,False,,False,,,,,,NOT_EQUIV,,False,0.0,True,,,,,,
2587,EVR,org.jfree.chart.util.RectangleInsets,Chart-1f,True,False,False,False,False,2589.0,True,,False,,,,,,NOT_EQUIV,,False,72.0,True,,,,,,
2796,ROR,org.jfree.chart.title.TextTitle,Chart-1f,True,False,False,False,False,2799.0,True,,False,,,,,,NOT_EQUIV,,False,121.0,True,,,,,,
2857,ROR,org.jfree.chart.title.TextTitle,Chart-1f,True,False,False,False,False,2860.0,False,,False,,,,,,NOT_EQUIV,,False,0.0,True,,,,,,
3243,LVR,org.jfree.chart.title.TextTitle,Chart-1f,True,False,False,False,False,3247.0,True,,False,,,,,,NOT_EQUIV,,False,5.0,True,,,,,,
5583,LVR,org.jfree.chart.plot.CategoryPlot,Chart-1f,True,False,False,False,False,5587.0,True,,False,,,,,,NOT_EQUIV,,False,8.0,True,,,,,,
