Subject,MID,MutationOperator,OperatorBefore,OperatorAfter,Class,Method,Line,CharOffset,OriginalCode,MutatedCode,EquiManualBin
Chart-1f,393,COR,<IDENTIFIER(boolean)>,TRUE,org.jfree.chart.ChartFactory,"createPieChart(java.lang.String,org.jfree.data.pie.PieDataset,org.jfree.data.pie.PieDataset,int,boolean,boolean,java.util.Locale,boolean,boolean)",423,19806,subTitle,true,False
Chart-1f,562,LVR,POS,0,org.jfree.chart.ChartFactory,"createPieChart(java.lang.String,org.jfree.data.pie.PieDataset,org.jfree.data.pie.PieDataset,int,boolean,boolean,boolean,boolean)",541,25483,10,0,False
Chart-1f,747,STD,<CALL>,<NO-OP>,org.jfree.chart.ChartFactory,"createWaterfallChart(java.lang.String,java.lang.String,java.lang.String,org.jfree.data.category.CategoryDataset,boolean)",1072,49480,renderer.setBaseNegativeItemLabelPosition(position);,<NO-OP>,False
Chart-1f,1423,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",org.jfree.chart.JFreeChart,"createAlignedRectangle2D(org.jfree.chart.util.Size2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.HorizontalAlignment,org.jfree.chart.util.VerticalAlignment)",1265,44768,hAlign == HorizontalAlignment.RIGHT,true,False
Chart-1f,1547,LVR,<CLASS>,<EMPTY>,org.jfree.chart.JFreeChart,"drawTitle(org.jfree.chart.title.Title,java.awt.Graphics2D,java.awt.geom.Rectangle2D,boolean)",1356,48857,"""Unrecognised title position.""","""""",False
Chart-1f,1766,ROR,"!=(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",org.jfree.chart.JFreeChart,clone(),1720,61761,this.title != null,true,False
Chart-1f,1772,ROR,"<(int,int)","!=(int,int)",org.jfree.chart.JFreeChart,clone(),1726,61964,i < getSubtitleCount(),i != getSubtitleCount(),True
Chart-1f,2297,LVR,POS,0,org.jfree.chart.util.RectangleInsets,hashCode(),218,6270,29,0,False
Chart-1f,2587,EVR,<MEMBER_SELECT(double)>,<DEFAULT>,org.jfree.chart.util.RectangleInsets,calculateBottomInset(double),411,12956,this.bottom,0.0,False
Chart-1f,2796,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.title.TextTitle,setFont(java.awt.Font),323,12229,font == null,false,False
Chart-1f,2857,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.title.TextTitle,"arrange(java.awt.Graphics2D,org.jfree.chart.block.RectangleConstraint)",505,17933,h == LengthConstraintType.FIXED,false,False
Chart-1f,3243,LVR,0,NEG,org.jfree.chart.title.TextTitle,hashCode(),881,32413,0,-1,False
Chart-1f,5583,LVR,TRUE,FALSE,org.jfree.chart.plot.CategoryPlot,"addRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer)",2700,92069,true,false,False
Chart-1f,5685,COR,"&&(boolean,boolean)","!=(boolean,boolean)",org.jfree.chart.plot.CategoryPlot,"removeRangeMarker(int,org.jfree.chart.plot.Marker,org.jfree.chart.util.Layer,boolean)",2935,100145,removed && notify,removed != notify,False
Chart-1f,5966,ROR,"!=(java.lang.Object,java.lang.Object)","==(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.CategoryPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3641,123166,rangeAxis != null,rangeAxis == null,False
Chart-1f,6001,STD,<CALL>,<NO-OP>,org.jfree.chart.plot.CategoryPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3683,124902,g2.setRenderingHints(savedG2.getRenderingHints());,<NO-OP>,False
Chart-1f,6079,ROR,"!=(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.CategoryPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3727,126724,r != null,false,False
Chart-1f,6139,ROR,">=(int,int)","<(int,int)",org.jfree.chart.plot.CategoryPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3755,127952,i >= 0,i < 0,False
Chart-1f,6379,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.CategoryPlot,"render(java.awt.Graphics2D,java.awt.geom.Rectangle2D,int,org.jfree.chart.plot.PlotRenderingInfo,org.jfree.chart.plot.CategoryCrosshairState)",3993,137893,this.rowRenderingOrder == SortOrder.ASCENDING,false,False
Chart-1f,6683,ROR,">=(int,int)","TRUE(int,int)",org.jfree.chart.plot.CategoryPlot,getDataRange(org.jfree.chart.axis.ValueAxis),4373,152635,rangeIndex >= 0,true,False
Chart-1f,7136,ROR,"<(int,int)","!=(int,int)",org.jfree.chart.plot.CategoryPlot,clone(),5106,176241,i < this.rangeAxes.size(),i != this.rangeAxes.size(),True
Chart-1f,8672,LVR,0,POS,org.jfree.chart.plot.XYPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3354,116347,0,1,False
Chart-1f,8678,ROR,"<(int,int)",">=(int,int)",org.jfree.chart.plot.XYPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3354,116350,i < this.renderers.size(),i >= this.renderers.size(),False
Chart-1f,8744,AOR,"-(int,int)","*(int,int)",org.jfree.chart.plot.XYPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3397,118145,rendererCount - 1,rendererCount * 1,False
Chart-1f,8893,ROR,"<(int,int)","!=(int,int)",org.jfree.chart.plot.XYPlot,"draw(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.awt.geom.Point2D,org.jfree.chart.plot.PlotState,org.jfree.chart.plot.PlotRenderingInfo)",3481,121865,i < this.renderers.size(),i != this.renderers.size(),True
Chart-1f,9218,EVR,<TYPE_CAST(org.jfree.chart.axis.ValueTick)>,<DEFAULT>,org.jfree.chart.plot.XYPlot,"drawRangeTickBands(java.awt.Graphics2D,java.awt.geom.Rectangle2D,java.util.List)",3686,130042,(ValueTick)iterator.next(),null,False
Chart-1f,9832,STD,<CALL>,<NO-OP>,org.jfree.chart.plot.XYPlot,"drawVerticalLine(java.awt.Graphics2D,java.awt.geom.Rectangle2D,double,java.awt.Stroke,java.awt.Paint)",4342,156000,g2.draw(line);,<NO-OP>,False
Chart-1f,9837,ROR,"==(java.lang.Object,java.lang.Object)","TRUE(java.lang.Object,java.lang.Object)",org.jfree.chart.plot.XYPlot,"drawRangeCrosshair(java.awt.Graphics2D,java.awt.geom.Rectangle2D,org.jfree.chart.plot.PlotOrientation,double,org.jfree.chart.axis.ValueAxis,java.awt.Stroke,java.awt.Paint)",4366,156800,orientation == PlotOrientation.HORIZONTAL,true,False
Chart-1f,10332,STD,<RETURN>,<NO-OP>,org.jfree.chart.plot.XYPlot,equals(java.lang.Object),5431,191847,return true;,<NO-OP>,True
Chart-1f,10893,ROR,"<(int,int)","<=(int,int)",org.jfree.chart.plot.XYPlot,"select(java.awt.geom.GeneralPath,java.awt.geom.Rectangle2D,org.jfree.chart.RenderingSource)",5933,212187,i < itemCount,i <= itemCount,False
Chart-1f,11616,AOR,"+(float,float)","/(float,float)",org.jfree.chart.text.TextBlock,"calculateBounds(java.awt.Graphics2D,float,float,org.jfree.chart.text.TextBlockAnchor,float,float,double)",193,6355,anchorX + offsets[0],anchorX / offsets[0],False
Chart-1f,11677,AOR,"+(float,float)","-(float,float)",org.jfree.chart.text.TextBlock,"draw(java.awt.Graphics2D,float,float,org.jfree.chart.text.TextBlockAnchor,float,float,double)",245,8579,anchorY + offsets[1],anchorY - offsets[1],False
Chart-1f,12411,LVR,0,NEG,org.jfree.chart.plot.PlotRenderingInfo,getSubplotIndex(java.awt.geom.Point2D),201,6217,0,-1,False
Chart-1f,12413,ROR,"<(int,int)","<=(int,int)",org.jfree.chart.plot.PlotRenderingInfo,getSubplotIndex(java.awt.geom.Point2D),201,6220,i < subplotCount,i <= subplotCount,False
Chart-1f,12575,STD,<RETURN>,<NO-OP>,org.jfree.chart.util.RectangleAnchor,equals(java.lang.Object),130,4019,return true;,<NO-OP>,True
Chart-1f,12805,LVR,POS,NEG,org.jfree.chart.util.RectangleAnchor,"createRectangle(org.jfree.chart.util.Size2D,double,double,org.jfree.chart.util.RectangleAnchor)",254,8556,2.0,-2.0,False
Chart-1f,13100,EVR,<MEMBER_SELECT(java.lang.String)>,<DEFAULT>,org.jfree.chart.LegendItem,getURLText(),764,26868,this.urlText,null,False
Chart-1f,13127,ROR,"==(java.lang.Object,java.lang.Object)","FALSE(java.lang.Object,java.lang.Object)",org.jfree.chart.LegendItem,setOutlinePaint(java.awt.Paint),923,30601,paint == null,false,False
Chart-1f,13437,STD,<ASSIGN>,<NO-OP>,org.jfree.chart.util.AbstractObjectList,hashCode(),216,6286,"result = HashUtilities.hashCode(result, this.objects[size / 2]);",<NO-OP>,False
Chart-1f,13455,ROR,"<(int,int)","!=(int,int)",org.jfree.chart.util.AbstractObjectList,writeObject(java.io.ObjectOutputStream),258,7500,i < count,i != count,True
Chart-1f,14053,EVR,<IDENTIFIER(double)>,<DEFAULT>,org.jfree.chart.axis.CategoryAxis,"getCategoryStart(int,int,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",617,22498,result,0.0,False
Chart-1f,14118,LVR,POS,0,org.jfree.chart.axis.CategoryAxis,"getCategorySeriesMiddle(java.lang.Comparable,java.lang.Comparable,org.jfree.data.category.CategoryDataset,double,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",722,26634,2.0,0.0,False
Chart-1f,14246,AOR,"/(double,double)","*(double,double)",org.jfree.chart.axis.CategoryAxis,"getCategorySeriesMiddle(int,int,int,int,double,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge)",761,28199,ww / 2.0,ww * 2.0,False
Chart-1f,14464,STD,<ASSIGN>,<NO-OP>,org.jfree.chart.axis.CategoryAxis,"draw(java.awt.Graphics2D,double,java.awt.geom.Rectangle2D,java.awt.geom.Rectangle2D,org.jfree.chart.util.RectangleEdge,org.jfree.chart.plot.PlotRenderingInfo)",941,34678,"state = drawCategoryLabels(g2, plotArea, dataArea, edge, state, plotState);",<NO-OP>,False
